,sec_code,beta,alpha,adf_factor,stochastic,mean,std,category
20,300101.XSHE,0.521402338938,0.521395235912,1.1864443272e-29,0.927482732691,-0.0436542307321,0.0263633266178,HY420
21,600316.XSHG,0.521176575,0.521170089973,2.50446569927e-19,0.538597175126,-0.0435816135942,0.0208326343629,HY420
22,002151.XSHE,0.521617740937,0.521611759025,7.44849583763e-19,0.18183279286,-0.0435536132501,0.0206413315485,HY420
23,600038.XSHG,0.521807701842,0.521800976508,0.0,0.445539563987,-0.0435508209868,0.0215148051828,HY420
24,601989.XSHG,0.521389216858,0.521384601946,3.00571568788e-18,0.105705918294,-0.0435552976623,0.0135947295438,HY420
25,002013.XSHE,0.521342365094,0.521335508878,1.1449810931e-29,0.372031396898,-0.0436317356869,0.028300397831,HY420
26,300397.XSHE,0.520987301541,0.520980977081,3.29194204767e-23,0.757178712313,-0.0435833994741,0.0265536769612,HY420
27,600967.XSHG,0.522077017234,0.52207371494,0.0,0.906019574487,-0.0435353612424,0.0225564646434,HY420
28,002625.XSHE,0.520401073969,0.520397590887,4.41906653702e-30,0.702074621938,-0.0435282061443,0.0282577836241,HY420
29,600765.XSHG,0.521286036711,0.521278966245,0.0,0.223211797958,-0.0435844571648,0.0209331758882,HY420
30,000697.XSHE,0.521667512887,0.521661711499,1.90846224466e-20,0.336578222978,-0.0435498246432,0.0212725815744,HY420
31,600435.XSHG,0.521322938387,0.521315993635,0.0,0.477782189474,-0.0435897837745,0.022306868957,HY420
0,300021.XSHE,0.520893071896,0.520889802999,3.39102022326e-17,0.0964838967721,-0.0436445171147,0.0361608763472,HY421
1,600176.XSHG,0.521885932854,0.521868761756,1.10248733567e-29,0.8891094749,-0.043539612293,0.023136840502,HY421
2,000055.XSHE,0.520939499228,0.520932837213,0.0,0.497868264276,-0.0436333988468,0.0271547382127,HY421
3,002718.XSHE,0.520852252841,0.520846356044,1.37993564803e-20,0.197769753177,-0.0435675552912,0.0188004494052,HY421
4,002163.XSHE,0.521440658061,0.521438865099,0.0,0.276301290837,-0.0435100121165,0.0236930860295,HY421
5,002791.XSHE,0.520450666556,0.520446882136,0.0,0.707674414675,-0.0436655109219,0.0269029410225,HY421
6,300117.XSHE,0.521325632591,0.521317421098,2.38361283345e-09,0.661668672345,-0.0435082820645,0.0277404622248,HY421
7,002205.XSHE,0.521185914836,0.521181792687,1.26461701819e-17,0.236001679814,-0.043544297109,0.0270961755331,HY421
8,000619.XSHE,0.521234575535,0.52123240393,3.6673030664e-30,0.380723781346,-0.0435833427557,0.0177204112417,HY421
9,002790.XSHE,0.520562432804,0.520552607559,0.0,0.370585385263,-0.0435724835347,0.0288282431776,HY421
10,002671.XSHE,0.520902852653,0.520897569307,0.0,0.158481768269,-0.0436348833273,0.0218544392086,HY421
11,002798.XSHE,0.52077223423,0.520763539738,0.0,0.524922541922,-0.0434965957694,0.037549507893,HY421
12,300374.XSHE,0.521099870302,0.521089232801,6.57831300883e-21,0.527094820926,-0.0435245086044,0.0344741886875,HY421
13,603038.XSHG,0.521233208252,0.52122832104,9.22319711887e-20,0.104492104015,-0.0434001423516,0.0275925744093,HY421
14,002084.XSHE,0.520948157589,0.520944078655,0.0,0.122503813249,-0.0436053581248,0.0197468524924,HY421
15,002162.XSHE,0.521093998103,0.521089491568,5.46168514786e-09,0.125431135217,-0.0435801951137,0.0170853659578,HY421
16,002641.XSHE,0.520937623561,0.520937098714,1.69310816701e-22,0.174840848701,-0.0436422930641,0.0179068513036,HY421
0,600463.XSHG,0.521149493144,0.521144648351,4.48895762781e-11,0.816926432945,-0.0434857760059,0.0256760613408,HY422
1,600170.XSHG,0.521472980991,0.521470315835,1.26494639422e-20,0.766584915075,-0.0435616049634,0.0132252453728,HY422
2,000055.XSHE,0.520939499228,0.520932837213,0.0,0.497868264276,-0.0436333988468,0.0271547382127,HY422
3,002743.XSHE,0.520974095253,0.520966747131,2.49781846442e-08,0.158173763159,-0.0435756955924,0.0267737119545,HY422
4,002060.XSHE,0.521088594844,0.52108285744,4.04510577041e-27,0.976299235105,-0.0436517405974,0.0273088043093,HY422
5,603030.XSHG,0.520617150045,0.520616702011,2.03514989795e-29,0.390474826805,-0.0436476894888,0.0352848388376,HY422
6,002509.XSHE,0.520430847847,0.520426983805,0.0,0.256197436652,-0.0435225994428,0.027843906165,HY422
